date,SiteName,solar.time,DO.obs,DO.sat,depth,temp.water,light,DO.mod
2017-06-03,New Hope Creek,2017-06-03T00:00:00Z,7.47,8.58803332749071,0.3754696644986683,22.812,0,7.47
2017-06-03,New Hope Creek,2017-06-03T00:15:00Z,7.47,8.58803332749071,0.3754696644986683,22.812,0,7.459723055495819
2017-06-03,New Hope Creek,2017-06-03T00:30:00Z,7.48,8.601219196505607,0.3737880943450713,22.717,0,7.450166302182387
2017-06-03,New Hope Creek,2017-06-03T00:45:00Z,7.46,8.616715497740252,0.3737880943450713,22.621,0,7.4416521054357405
2017-06-03,New Hope Creek,2017-06-03T01:00:00Z,7.46,8.631999310283968,0.3737880943450713,22.525,0,7.434340563299227
2017-06-03,New Hope Creek,2017-06-03T01:15:00Z,7.46,8.644959111354321,0.3737880943450713,22.429,0,7.428086271459265
2017-06-03,New Hope Creek,2017-06-03T01:30:00Z,7.44,8.64645401845825,0.3737880943450713,22.429,0,7.422515206142335
2017-06-03,New Hope Creek,2017-06-03T01:45:00Z,7.46,8.661132447340552,0.37251489128352805,22.333,0,7.417507470166587
2017-06-03,New Hope Creek,2017-06-03T02:00:00Z,7.48,8.677545572101193,0.37251489128352805,22.238,0,7.413370036059397
2017-06-03,New Hope Creek,2017-06-03T02:15:00Z,7.47,8.693914430732159,0.37251489128352805,22.142,0,7.410223492822354
2017-06-03,New Hope Creek,2017-06-03T02:30:00Z,7.48,8.709717852085465,0.3712311517625427,22.046,0,7.4078605527509005
2017-06-03,New Hope Creek,2017-06-03T02:45:00Z,7.5,8.726292269303553,0.3712311517625427,21.951,0,7.406239326148101
2017-06-03,New Hope Creek,2017-06-03T03:00:00Z,7.5,8.727799770599733,0.3712311517625427,21.951,0,7.4051300850096675
2017-06-03,New Hope Creek,2017-06-03T03:15:00Z,7.46,8.743711841653939,0.36950273952923074,21.855,0,7.404307585688181
2017-06-03,New Hope Creek,2017-06-03T03:30:00Z,7.51,8.760041398488182,0.36950273952923074,21.76,0,7.4040820351548495
2017-06-03,New Hope Creek,2017-06-03T03:45:00Z,7.52,8.777218720586745,0.36819357379928985,21.664,0,7.4044926533270035
2017-06-03,New Hope Creek,2017-06-03T04:00:00Z,7.5,8.794015160441159,0.36687313346042105,21.569,0,7.40537731317858
2017-06-03,New Hope Creek,2017-06-03T04:15:00Z,7.55,8.795532898637843,0.36687313346042105,21.569,0,7.406496496366987
2017-06-03,New Hope Creek,2017-06-03T04:30:00Z,7.56,8.811664417796319,0.3655411809817438,21.473,0,7.40781383616526
2017-06-03,New Hope Creek,2017-06-03T04:45:00Z,7.57,8.831261675090541,0.3655411809817438,21.378,0,7.409727054018552
2017-06-03,New Hope Creek,2017-06-03T05:00:00Z,7.56,8.84930197253699,0.36374691092788947,21.282,35.91600153086594,7.413572915117797
2017-06-03,New Hope Creek,2017-06-03T05:15:00Z,7.56,8.851724875760667,0.36238712720361627,21.282,88.61306794701487,7.420741439905913
2017-06-03,New Hope Creek,2017-06-03T05:30:00Z,7.59,8.868758290040738,0.3610149793639031,21.187,141.9686907025303,7.4317579699082925
2017-06-03,New Hope Creek,2017-06-03T05:45:00Z,7.59,8.888093190889474,0.3596301921961876,21.091,195.75444192679345,7.446851749052594
2017-06-03,New Hope Creek,2017-06-03T06:00:00Z,7.59,8.889263777873225,0.3582324806424901,21.091,249.7400523328178,7.46550818895452
2017-06-03,New Hope Creek,2017-06-03T06:15:00Z,7.63,8.907319373051841,0.3582324806424901,20.996,303.69439705444836,7.48764143266651
2017-06-03,New Hope Creek,2017-06-03T06:30:00Z,7.61,8.923538111780088,0.3568215493105743,20.901,357.3864851168173,7.513395659865137
2017-06-03,New Hope Creek,2017-06-03T06:45:00Z,7.64,8.923176696332385,0.35539709195386837,20.901,410.58644837641907,7.542049511869009
2017-06-03,New Hope Creek,2017-06-03T07:00:00Z,7.66,8.924983773570894,0.3534762242461977,20.901,463.06652563834086,7.573096177360478
2017-06-03,New Hope Creek,2017-06-03T07:15:00Z,7.64,8.940801206861838,0.3520189500136294,20.805,514.6020377401755,7.606727940289802
2017-06-03,New Hope Creek,2017-06-03T07:30:00Z,7.65,8.942611421463871,0.3505470431534131,20.805,564.9723495084264,7.6427847926836225
2017-06-03,New Hope Creek,2017-06-03T07:45:00Z,7.72,8.941887335623058,0.3490601434947203,20.805,613.9618142655975,7.680701830510966
2017-06-03,New Hope Creek,2017-06-03T08:00:00Z,7.75,8.957946928425802,0.3490601434947203,20.71,661.36069711478,7.720657884372374
2017-06-03,New Hope Creek,2017-06-03T08:15:00Z,7.76,8.958490927756412,0.34755787659865256,20.71,706.966072860127,7.762467657930232
2017-06-03,New Hope Creek,2017-06-03T08:30:00Z,7.77,8.959306926752328,0.34603985297261863,20.71,750.582694736642,7.80551030095131
2017-06-03,New Hope Creek,2017-06-03T08:45:00Z,7.78,8.959216260197227,0.34450566722894976,20.71,792.0238303409291,7.849563766097228
2017-06-03,New Hope Creek,2017-06-03T09:00:00Z,7.81,8.95731226254009,0.34450566722894976,20.71,831.112061069648,7.894376398533083
2017-06-03,New Hope Creek,2017-06-03T09:15:00Z,7.77,8.956314930433969,0.34347369001261024,20.71,867.6800416640565,7.9397146978668545
2017-06-03,New Hope Creek,2017-06-03T09:30:00Z,7.85,8.939715078100617,0.3419116204869232,20.805,901.5712166615413,7.984988430045198
2017-06-03,New Hope Creek,2017-06-03T09:45:00Z,7.96,8.936275670356753,0.3419116204869232,20.805,932.6404906338698,8.029935915973786
2017-06-03,New Hope Creek,2017-06-03T10:00:00Z,8,8.9387194600695,0.3419116204869232,20.805,960.7548493947733,8.074818057404212
2017-06-03,New Hope Creek,2017-06-03T10:15:00Z,8.09,8.919743249579223,0.3419116204869232,20.901,985.7939294336512,8.119022647549562
2017-06-03,New Hope Creek,2017-06-03T10:30:00Z,8.09,8.919743249579223,0.34033222302910177,20.901,1007.6505332296236,8.16226451466065
2017-06-03,New Hope Creek,2017-06-03T10:45:00Z,8.08,8.903170209115558,0.34033222302910177,20.996,1026.231088161774,8.204391809889485
