DateTime_UTC,DateTime_EST,WaterTemp_C,DO_mgL
           2018-06-12 09:39:00,           2018-06-12 05:39:00,24.277,1.729
           2018-06-12 09:49:00,           2018-06-12 05:49:00,24.26,1.65
           2018-06-12 09:59:00,           2018-06-12 05:59:00,24.219,1.6
           2018-06-12 10:09:00,           2018-06-12 06:09:00,24.185,1.589
           2018-06-12 10:19:00,           2018-06-12 06:19:00,24.177,1.515
           2018-06-12 10:29:00,           2018-06-12 06:29:00,24.118,1.504
           2018-06-12 10:39:00,           2018-06-12 06:39:00,24.059,1.583
           2018-06-12 10:49:00,           2018-06-12 06:49:00,24.001,1.564
           2018-06-12 10:59:00,           2018-06-12 06:59:00,23.967,1.524
           2018-06-12 11:09:00,           2018-06-12 07:09:00,23.917,1.461
           2018-06-12 11:19:00,           2018-06-12 07:19:00,23.875,1.412
           2018-06-12 11:29:00,           2018-06-12 07:29:00,23.833,1.336
           2018-06-12 11:39:00,           2018-06-12 07:39:00,23.791,1.255
           2018-06-12 11:49:00,           2018-06-12 07:49:00,23.741,1.19
           2018-06-12 11:59:00,           2018-06-12 07:59:00,23.716,1.131
           2018-06-12 12:09:00,           2018-06-12 08:09:00,23.699,1.121
           2018-06-12 12:19:00,           2018-06-12 08:19:00,23.674,1.09
           2018-06-12 12:29:00,           2018-06-12 08:29:00,23.632,1.043
           2018-06-12 12:39:00,           2018-06-12 08:39:00,23.582,1.021
           2018-06-12 12:49:00,           2018-06-12 08:49:00,23.557,1.021
           2018-06-12 12:59:00,           2018-06-12 08:59:00,23.549,1.01
           2018-06-12 13:09:00,           2018-06-12 09:09:00,23.549,1.005
           2018-06-12 13:19:00,           2018-06-12 09:19:00,23.54,0.978
           2018-06-12 13:29:00,           2018-06-12 09:29:00,23.524,0.943
           2018-06-12 13:39:00,           2018-06-12 09:39:00,23.515,0.903
           2018-06-12 13:49:00,           2018-06-12 09:49:00,23.524,0.91
           2018-06-12 13:59:00,           2018-06-12 09:59:00,23.532,0.91
           2018-06-12 14:09:00,           2018-06-12 10:09:00,23.524,0.945
           2018-06-12 14:19:00,           2018-06-12 10:19:00,23.532,0.97
           2018-06-12 14:29:00,           2018-06-12 10:29:00,23.557,0.981
           2018-06-12 14:39:00,           2018-06-12 10:39:00,23.524,1.007
           2018-06-12 14:49:00,           2018-06-12 10:49:00,23.54,1.018
           2018-06-12 14:59:00,           2018-06-12 10:59:00,23.582,1.028
           2018-06-12 15:09:00,           2018-06-12 11:09:00,23.582,1.016
           2018-06-12 15:19:00,           2018-06-12 11:19:00,23.574,1.047
           2018-06-12 15:29:00,           2018-06-12 11:29:00,23.616,1.104
           2018-06-12 15:39:00,           2018-06-12 11:39:00,23.649,1.11
           2018-06-12 15:49:00,           2018-06-12 11:49:00,23.632,1.081
           2018-06-12 15:59:00,           2018-06-12 11:59:00,23.641,1.119
           2018-06-12 16:09:00,           2018-06-12 12:09:00,23.716,1.146
           2018-06-12 16:19:00,           2018-06-12 12:19:00,23.808,1.268
           2018-06-12 16:29:00,           2018-06-12 12:29:00,23.808,1.395
           2018-06-12 16:39:00,           2018-06-12 12:39:00,23.817,1.461
           2018-06-12 16:49:00,           2018-06-12 12:49:00,23.858,1.516
           2018-06-12 16:59:00,           2018-06-12 12:59:00,23.858,1.605
           2018-06-12 17:09:00,           2018-06-12 13:09:00,23.867,1.673
           2018-06-12 17:19:00,           2018-06-12 13:19:00,23.9,1.719
           2018-06-12 17:29:00,           2018-06-12 13:29:00,23.909,1.792
           2018-06-12 17:39:00,           2018-06-12 13:39:00,23.942,1.806
           2018-06-12 17:49:00,           2018-06-12 13:49:00,23.967,1.859
           2018-06-12 17:59:00,           2018-06-12 13:59:00,24.034,1.972
           2018-06-12 18:09:00,           2018-06-12 14:09:00,24.034,1.982
           2018-06-12 18:19:00,           2018-06-12 14:19:00,24.059,2.058
           2018-06-12 18:29:00,           2018-06-12 14:29:00,24.143,2.071
           2018-06-12 18:39:00,           2018-06-12 14:39:00,24.168,2.136
           2018-06-12 18:49:00,           2018-06-12 14:49:00,24.143,1.116
           2018-06-12 18:59:00,           2018-06-12 14:59:00,24.202,1.153
           2018-06-12 19:09:00,           2018-06-12 15:09:00,24.21,1.28
           2018-06-12 19:19:00,           2018-06-12 15:19:00,24.286,1.449
           2018-06-12 19:29:00,           2018-06-12 15:29:00,24.277,1.518
           2018-06-12 19:39:00,           2018-06-12 15:39:00,24.302,1.543
           2018-06-12 19:49:00,           2018-06-12 15:49:00,24.294,1.776
           2018-06-12 19:59:00,           2018-06-12 15:59:00,24.353,1.903
           2018-06-12 20:09:00,           2018-06-12 16:09:00,24.344,2.006
           2018-06-12 20:19:00,           2018-06-12 16:19:00,24.386,2.018
           2018-06-12 20:29:00,           2018-06-12 16:29:00,24.47,2.138
           2018-06-12 20:39:00,           2018-06-12 16:39:00,24.587,2.206
           2018-06-12 20:49:00,           2018-06-12 16:49:00,24.529,2.259
           2018-06-12 20:59:00,           2018-06-12 16:59:00,24.571,2.248
           2018-06-12 21:09:00,           2018-06-12 17:09:00,24.537,2.341
           2018-06-12 21:19:00,           2018-06-12 17:19:00,24.554,2.438
           2018-06-12 21:29:00,           2018-06-12 17:29:00,24.545,2.52
           2018-06-12 21:39:00,           2018-06-12 17:39:00,24.604,2.514
           2018-06-12 21:49:00,           2018-06-12 17:49:00,24.671,2.582
           2018-06-12 21:59:00,           2018-06-12 17:59:00,24.646,2.776
           2018-06-12 22:09:00,           2018-06-12 18:09:00,24.73,2.739
           2018-06-12 22:19:00,           2018-06-12 18:19:00,24.789,2.85
           2018-06-12 22:29:00,           2018-06-12 18:29:00,24.789,2.87
           2018-06-12 22:39:00,           2018-06-12 18:39:00,24.755,2.88
           2018-06-12 22:49:00,           2018-06-12 18:49:00,24.78,2.836
           2018-06-12 22:59:00,           2018-06-12 18:59:00,24.848,2.83
           2018-06-12 23:09:00,           2018-06-12 19:09:00,24.881,2.901
           2018-06-12 23:19:00,           2018-06-12 19:19:00,24.906,2.935
           2018-06-12 23:29:00,           2018-06-12 19:29:00,24.948,2.993
           2018-06-12 23:39:00,           2018-06-12 19:39:00,24.973,3.081
           2018-06-12 23:49:00,           2018-06-12 19:49:00,24.957,3.054
           2018-06-12 23:59:00,           2018-06-12 19:59:00,24.982,3.014
           2018-06-13 00:09:00,           2018-06-12 20:09:00,25.007,3.02
           2018-06-13 00:19:00,           2018-06-12 20:19:00,25.015,3.067
           2018-06-13 00:29:00,           2018-06-12 20:29:00,25.032,2.986
           2018-06-13 00:39:00,           2018-06-12 20:39:00,25.049,2.995
           2018-06-13 00:49:00,           2018-06-12 20:49:00,25.024,3.037
           2018-06-13 00:59:00,           2018-06-12 20:59:00,25.032,3.036
           2018-06-13 01:09:00,           2018-06-12 21:09:00,25.024,3.015
           2018-06-13 01:19:00,           2018-06-12 21:19:00,25.007,2.959
           2018-06-13 01:29:00,           2018-06-12 21:29:00,24.982,2.901
           2018-06-13 01:39:00,           2018-06-12 21:39:00,25.007,2.825
           2018-06-13 01:49:00,           2018-06-12 21:49:00,25.032,2.893
           2018-06-13 01:59:00,           2018-06-12 21:59:00,24.99,2.754
           2018-06-13 02:09:00,           2018-06-12 22:09:00,25.024,2.727
           2018-06-13 02:19:00,           2018-06-12 22:19:00,24.965,2.647
           2018-06-13 02:29:00,           2018-06-12 22:29:00,24.973,2.597
           2018-06-13 02:39:00,           2018-06-12 22:39:00,24.99,2.624
           2018-06-13 02:49:00,           2018-06-12 22:49:00,24.999,2.596
           2018-06-13 02:59:00,           2018-06-12 22:59:00,24.982,2.507
           2018-06-13 03:09:00,           2018-06-12 23:09:00,24.965,2.511
           2018-06-13 03:19:00,           2018-06-12 23:19:00,24.982,2.486
           2018-06-13 03:29:00,           2018-06-12 23:29:00,24.965,2.464
           2018-06-13 03:39:00,           2018-06-12 23:39:00,24.982,2.363
           2018-06-13 03:49:00,           2018-06-12 23:49:00,24.99,2.281
           2018-06-13 03:59:00,           2018-06-12 23:59:00,24.973,2.216
           2018-06-13 04:09:00,           2018-06-13 00:09:00,24.948,2.225
           2018-06-13 04:19:00,           2018-06-13 00:19:00,24.973,2.243
           2018-06-13 04:29:00,           2018-06-13 00:29:00,24.94,2.295
           2018-06-13 04:39:00,           2018-06-13 00:39:00,24.957,2.211
           2018-06-13 04:49:00,           2018-06-13 00:49:00,24.931,2.175
           2018-06-13 04:59:00,           2018-06-13 00:59:00,24.948,2.173
           2018-06-13 05:09:00,           2018-06-13 01:09:00,24.948,2.102
           2018-06-13 05:19:00,           2018-06-13 01:19:00,24.923,2.053
           2018-06-13 05:29:00,           2018-06-13 01:29:00,24.931,2.027
           2018-06-13 05:39:00,           2018-06-13 01:39:00,24.94,2.009
           2018-06-13 05:49:00,           2018-06-13 01:49:00,24.94,2.01
           2018-06-13 05:59:00,           2018-06-13 01:59:00,24.965,1.915
           2018-06-13 06:09:00,           2018-06-13 02:09:00,24.965,1.824
           2018-06-13 06:19:00,           2018-06-13 02:19:00,24.957,1.762
           2018-06-13 06:29:00,           2018-06-13 02:29:00,24.923,1.784
           2018-06-13 06:39:00,           2018-06-13 02:39:00,24.856,1.792
           2018-06-13 06:49:00,           2018-06-13 02:49:00,24.848,1.869
           2018-06-13 06:59:00,           2018-06-13 02:59:00,24.806,1.805
