"","feature","importance.05","importance","importance.95","permutation.error"
"1","RockCover_perc",-0.561909665859578,2.31509397382315,5.15865855983958,21.6642723280763
"2","VegCover_perc",-0.204036314292296,2.09530320143034,4.63417863310257,21.4444815556835
"3","Discharge_m3s",-0.0628032259497336,1.62473087031197,3.23224184089944,20.9739092245651
"4","LandCover_Built_perc",0.23079245865912,0.927711534118178,1.52082628178738,20.2768898883713
"5","Mean_Slope",-1.13642550116794,0.80466913778367,1.89157351185897,20.1538474920368
"6","NO2NO3_ugL",-0.0349252440126245,0.689495274952439,1.44400302397023,20.0386736292056
"7","Latitude",-0.211066302020078,0.628401800051599,1.33583678851289,19.9775801543047
"8","Denitrification_amended_mgNm2hr_mean",-0.232488424953444,0.585975479527903,1.24243825677276,19.935153833781
"9","CanopyCover_Avg_perc",-1.28126645580042,0.546261337505856,2.369153413344,19.895439691759
"10","LandCover_Crop_perc",-0.0486991745092592,0.224849900630415,0.442197038509968,19.5740282548835
"11","SRP_ugL",-0.357387264290279,0.211772385866661,0.66984428770341,19.5609507401198
"12","DO_mgL_mean",-0.390777715159505,0.0761291647922366,0.554974434344844,19.4253075190454
"13","SedimentCover_perc",-0.0964533771407513,0.0354954842634712,0.195137780317406,19.3846738385166
"14","Longitude",-0.289584403868521,0.0306040091116628,0.326090963604629,19.3797823633648
"15","WaterTemp_C_mean",-0.458712968730694,-0.13368054100018,0.171329008795398,19.2154978132529
"16","ReachWidth_Avg_m",-2.3388430841648,-0.1585654567044,1.80886649441749,19.1906128975487
"17","DOC_mgL",-0.776821033656608,-0.162946929100899,0.137690076505597,19.1862314251522
"18","CWDCover_perc",-1.00946451851147,-0.184303733452506,0.40757541274735,19.1648746208006
"19","NH4_ugL",-0.941076460001644,-0.424349559402952,0.00372695824040409,18.9248287948502
"20","Ecoregion",-3.09321029031084,-0.721244056661192,0.505775489410917,18.6279342975919
"21","WatershedArea_km2",-3.04452741009032,-1.23295898486838,0.15680002429035,18.1162193693847
"22","TDN_TP",-3.88079533951615,-1.90968677725045,0.0618679486216022,17.4394915770027
