"","feature","importance.05","importance","importance.95","permutation.error"
"1","K600_daily_mean",0.893624174088191,3.8034683272823,6.36927998935546,13.1560748879766
"2","SedimentCover_perc",0.0425300203734215,2.14079304886818,3.3308805163827,11.4933996095625
"3","RockCover_perc",0.176839142501436,1.48507064292794,2.74437623364849,10.8376772036223
"4","LandCover_Crop_perc",-0.00608027005301714,1.28167703168888,2.19879167216002,10.6342835923832
"5","DO_mgL_mean",-0.940200924907707,0.633564185788262,1.75394455713196,9.98617074648259
"6","NH4_ugL",-0.33847239915158,0.415962559753083,1.00035799908739,9.76856912044741
"7","TransectDepth_Avg_cm",-0.275681766850603,0.373336053987321,1.03792203460107,9.72594261468165
"8","ER_daily_mean",0.0131853631694799,0.319505161467726,0.61781569859009,9.67211172216206
"9","TDN_mgL",-0.0591263374238447,0.198599964033052,0.421330221346492,9.55120652472738
"10","Mean_Slope",-0.232354702022515,0.112067697036986,0.318592294677033,9.46467425773132
"11","SRP_ugL",0.0396637619832857,0.108095314679431,0.180583429256967,9.46070187537376
"12","TDN_TP",-0.209193147969287,0.0980479837645651,0.353966878992259,9.4506545444589
"13","Latitude",-0.0919419731827429,0.0827361447674022,0.247986445654828,9.43534270546173
"14","Longitude",-0.0861614859081211,0.0357708525556086,0.186935975737827,9.38837741324994
"15","DOC_mgL",-0.0177427938531116,0.0242337004958637,0.0607057735431099,9.37684026119019
"16","ReachWidth_Avg_m",-0.10359548795196,0.0184315330220315,0.0965073940128595,9.37103809371636
"17","Discharge_m3s",-0.888155770436699,-0.00232823657071979,0.681504424572297,9.35027832412361
"18","CanopyCover_Avg_perc",-0.0317535691387557,-0.00377890799525282,0.0775192719549986,9.34882765269908
"19","Ecoregion",-0.0773251835538181,-0.00699969225280128,0.0874535543589326,9.34560686844153
"20","WaterTemp_C_mean",-0.166667074903457,-0.0118457715281783,0.1764528538387,9.34076078916615
"21","VegCover_perc",-0.269130465814129,-0.0328389674661507,0.210101682924394,9.31976759322818
"22","LandCover_Built_perc",-0.075497994651816,-0.033209703653954,-0.00844080194044476,9.31939685704038
"23","WatershedArea_km2",-0.158154894279083,-0.0460117262731998,0.0772770965906132,9.30659483442113
"24","CWDCover_perc",-0.281682075542684,-0.0525548076898383,0.20923481987767,9.30005175300449
"25","NO2NO3_ugL",-0.152189078332454,-0.0664870570214751,0.0421814624846432,9.28611950367285
