SiteName,State,Latitude,Longitude,Ecoregion,Organization,NEON_SiteID,StreamPULSE_SiteID,date,Min_Elevation,Mean_Elevation,Max_Elevation,Mean_Slope,Aspect,WatershedArea_km2,LandCover_Water_km2,LandCover_Trees_km2,LandCover_Grass_km2,LandCover_FloodedVeg_km2,LandCover_Crop_km2,LandCover_ShrubScrub_km2,LandCover_Built_km2,LandCover_Bare_km2,ReachWidth_Avg_m,TransectDepth_Avg_cm,CanopyCover_Avg_perc,DOC_mgL,TDN_mgL,NH4_ugL,NO2NO3_ugL,SRP_ugL,TDP_ugL,TP_ugL,DIN_ugNL
Dowst Cate Forest,NH,43.1344,-71.1838,Northeast,StreamPULSE,NA,NH_DCF,8/10/18,101.03,153.394,303.234,6.611,22.641,7.088473,0.0086,6.7969,0.0479,0,0,0.2148,0.0207,0,6.571428571,15.22137188,95.60571429,15,0.66,1.642,5.7,2.9,13.6,18.8,7.4
Hop Brook,MA,42.47179,-72.32963,Northeast,NEON,HOPB,NA,8/15/18,205.15863,301.736341,398.310577,7.041453,123.536668,11.88,0.001,11.5084,0.1454,0,0,0.0831,0.1567,0,5.16,27.06333333,94.484,6.2,0.2,3.59,5.7,2.9,9.5,13.6,9.3
Rio Yahuecas,PR,18.1741,-66.79851,Atlantic Neotropical,NEON,GUIL,NA,2/21/19,551.879517,817.954843,1198.933228,50.865532,317.913751,9.55,0,9.1392,0.0129,0,0.0031,0.0637,0.3464,0,4.58,26.28227273,40.456,2,0.3,6.37,268.8,12.9,25,19.1,275.2
Rio Cupeyes,PR,18.11352,-66.98676,Atlantic Neotropical,NEON,CUPE,NA,2/23/19,148.877304,461.46881,892.922729,26.675539,193.255868,4.26,0.0057,4.2379,0,0,0,0,0.0159,0,3.366666667,8.652910053,82.42,5.9,0.4,1.98,368.5,17.5,4.6,7.4,370.5
Quebrada Prieta,PR,18.324,-65.8151,Atlantic Neotropical,StreamPULSE,NA,PR_QP,3/3/19,375.829,540.792,656.088,16.29,283.56,0.422098,0,0.4238,0,0,0,0,0,0,3.12,11.88531746,87.204,2.4,0.2,12.41,120.6,4.9,4.6,12.4,133
Quebrada Sonadora,PR,18.3213,-65.8171,Atlantic Neotropical,StreamPULSE,NA,PR_QS,3/5/19,378.359,741.912,1031.53,17.553,321.015,2.360431,0,2.364,0,0,0,0,0,0,11.8,25.02051282,81.12,2.7,0.2,3.38,116.8,4.7,4.6,5.7,120.2
Kings Creek,KS,39.10506,-96.60336,Prairie Peninsula,NEON,KING,NA,5/10/19,325.380981,391.516671,444.311218,7.909218,314.257549,13.04,0,0.6989,1.5453,0,0.0302,10.7758,0,0.0007,6.457142857,33.5377551,63.29142857,6.9,0.15,1.33,56.6,10.5,10.8,15.7,57.9
Sycamore Creek,AZ,33.74906,-111.5069,Desert Southwest,NEON,SYCA,NA,5/14/19,645.71582,1275.071289,2171.467773,19.329774,214.436512,280.48,0.0087,10.8949,0,0,0,269.0867,0.2695,0.0105,2.225,8.71468254,3.943333333,7.9,0.24,9.16,97.6,36.6,64,60.8,106.8
Wet Beaver Creek,AZ,34.6793,-111.695,Desert Southwest,StreamPULSE,NA,AZ_WB,5/16/19,1185.57,1981.182,2594.143,7.745,251.705,297.81036,0.0119,112.1283,0.9125,0,0.0174,184.2467,0.001,0.2746,12.925,47.02951389,18.46,4.5,0.12,3.775,37.4,23.9,26.8,24.1,41.2
Arikaree River,CO,39.75825,-102.4471,Central Plains,NEON,ARIK,NA,5/24/19,1180.108398,1504.586993,1817.128296,1.27007,76.776771,2632.3,0.0613,0.9291,0.9891,0,2234.5199,389.3081,5.9795,0.0547,4.03,19.18214286,1.196,14.9,0.39,5.06,12.6,31.5,12.6,14.1,17.7
Pilgrim River,MI,47.1013,-88.5176,Great Lakes,StreamPULSE,NA,MI_PILG1,6/13/19,185.709,301.199,457.851,3.636,82.562,58.106225,0.0837,48.7306,3.8375,0.0019,0.1341,0.7252,4.5689,0,9.08,59.03560606,14.404,8.2,0.23,5.72,40.7,50.5,10.8,19.1,46.5
Caribou Creek,AK,65.15306,-147.50246,Taiga,NEON,CARI,NA,7/9/19,227.580811,488.948214,767.568115,11.514505,142.435296,31.05,0,30.5754,0.0209,0,0,0.4327,0,0,2.866666667,15.30257937,15.42666667,4.7,0.38,9.52,285.2,7.8,4.6,4.1,294.7
Poker Creek,AK,65.1528,-147.4867,Taiga,Other,NA,NA,7/10/19,216.018,530.112,819.855,11.908,188.23,60.315922,0,49.6044,0.2147,0,0,10.455,0,0,3.85,27.79626623,18.33,4.5,0.31,4.06,261.7,5.4,4.6,7.4,265.7
Blacktail Deer Creek,WY,44.95011,-110.58715,Northern Rockies,NEON,BLDE,NA,7/30/19,2023.951904,2401.219359,2942.318115,10.406002,341.06012,37.84,0,14.4039,5.3704,0,0,18.0312,0,0.0093,2.475,18.18125,41.21,3.1,0.08,4.56,41.9,5,37.4,39.1,46.5
McRae Creek,OR,44.2596,-122.16555,Pacific Northwest,NEON,MCRA,NA,8/3/19,876.960266,1247.753849,1628.366211,21.21077,248.222132,3.93,0,3.9301,0,0,0,0,0,0,3.716666667,7.153540904,89.44,1,0.03,1.09,10.7,7.8,4.6,7.4,11.8
Martha Creek,WA,45.79125,-121.93196,Pacific Northwest,NEON,MART,NA,8/6/19,342.610596,612.489476,944.584106,19.523848,77.476281,6.35,0,6.3417,0,0,0,0,0,0,2.925,11.41339286,43.745,1.7,0.15,4.78,43.4,33.2,28.6,22.4,48.2
Blaine Creek,MT,48.1885,-114.1327,Northern Rockies,Other,NA,NA,8/10/19,890.589,915.325,941.0455,1.11,176.528,15.571501,0.2973,1.3281,0.4532,0,10.9102,0.363,2.2295,0,1.896666667,10.63293651,0,14.3,3.61,18.41,3667.3,10.6,4.6,10.7,3685.7
Pilgrim River,MI,47.1013,-88.5176,Great Lakes,StreamPULSE,NA,MI_PILG1,9/9/19,185.709,301.199,457.851,3.636,82.562,58.106225,0.0837,48.7306,3.8375,0.0019,0.1341,0.7252,4.5689,0,10.04,53.81676768,13.104,4.6,0.17,5.97,50,6.5,10.8,9.1,56
