siteID,FPOM,leaf litter,other,sand,DeadVegetation,silt,Vegetation_Algae,CWD,dry,SimpsonsInformationIndex,ShannonsEvenness,boulder_bigRock,cobble,pebble,clay,bedrock
ARIK,11.954079408876597,1.6664410850130489,0.7029967159277504,4.991446198541181,42.239056616829124,7.089619868116649,25.89758839079078,0.5655048076923077,4.893266908,3.7031066327920947,0.7213940751190692,0,0,0,0,0
BLDE,0,0.17241379310344826,1.706896551724138,7.718390804597701,0,1.885057471264368,0.5057471264367817,0.8333333333333334,0,2.969449507843854,0.6012644107190604,13.333333333333332,51.264367816091955,22.241379310344826,0.3390804597701149,0
CARI,0,0,0,15.695028011204482,0,1.5931372549019607,0,5.471813725490196,1.176470588235294,3.877700468855105,0.7474460489336876,10.738795518207283,38.98546918767507,25.751050420168067,0,0.588235294
CUPE,0,11.794871794871796,0,6.318681318681318,0,0.12820512820512822,0.12820512820512822,0.25641025641025644,0.12820512820512822,3.164881195133436,0.6118487668699061,9.203296703296703,22.307692307692307,48.96520146520147,0,0.7692307692307693
GUIL,0,1.9364623243933587,4.216611932129173,3.463555920452472,0,1.5708812260536396,27.937648239372376,0,0,5.643666832956947,0.828766662,17.792145593869733,10.459770114942529,19.318326947637292,0.8333333333333334,12.471264367816092
HOPB,0,0.4545454545454546,0.4545454545454546,12.424242424242424,0,0.4545454545454546,5.909090909090909,0.30303030303030304,11.515151515151516,5.682678007670833,0.7855874608973336,14.696969696969697,24.696969696969695,24.242424242424242,0,4.848484848484849
KING,0,19.067663817663817,0,0,11.011904761904761,4.947240817930473,22.27326919568299,1.437830687830688,0,4.285331093462706,0.7442497082874253,0,3.512360883050538,21.11588284002077,13.572035563414873,0
MART,0,1.0032058800531707,0,4.273594495269372,0.8217999843615607,0.15873015873015875,11.114238798967863,0.17006802721088435,13.705137227304714,4.795855682421561,0.7504041631508332,12.167487684729064,29.835014465556338,26.750723277816874,0,0
MCDI,0,17.288961038961038,2.435064935064935,0.5681818181818182,0,4.924242424242424,13.528138528138529,1.1363636363636365,5.194805194805195,4.1880172396349735,0.7701936600026267,0,14.448051948051948,40.476190476190474,0,0
MCRA,0,0.4761904761904762,0,2.0689655172413794,0,0.15873015873015875,13.541324575807334,0.7936507936507937,25.9168035,4.855978196,0.7706741057317872,13.842364532019705,27.69567597153804,15.506294471811712,0,0
PRIN,0,1.6371165066817241,0.3722943722943723,23.434970826275173,6.161114248,1.8370035761340109,27.399585921325052,0.5375494071146245,20.135893092414832,5.248797751513786,0.771105827,0.9177489177489178,9.122529644268775,8.444193487671749,0,0
SYCA,13.670128430623183,1.3799002929437711,0.2463768115942029,8.956600514718515,0.4095527993578968,3.444682878014741,4.999733557803053,0.8874950024742775,50.369837840346705,3.2615350239627476,0.6497605680508519,0,0.753623188,14.88206868371786,0,0
